ti_nome,municipio
Acapuri de Cima,FONTE BOA
Acimã,LÁBREA
Aconã,TRAIPU
Água Preta/Inari,PAUINI
Águas Belas,PRADO
Águas Claras,MAJOR GERCINO
Aldeia Kondá,CHAPECÓ
Aldeia Limão Verde,AMAMBAI
Aldeia Velha,PORTO SEGURO
Alto Rio Guamá,SANTA LUZIA DO PARÁ
Alto Rio Guamá,PARAGOMINAS
Alto Rio Guamá,NOVA ESPERANÇA DO PIRIÁ
Alto Rio Negro,JAPURÁ
Alto Rio Negro,SÃO GABRIEL DA CACHOEIRA
Alto Rio Purus,SANTA ROSA DO PURUS
Alto Rio Purus,MANOEL URBANO
Alto Sepatini,LÁBREA
Alto Tarauacá,FEIJÓ
Alto Tarauacá,JORDÃO
Alto Turiaçu,ARAGUANÃ
Alto Turiaçu,CENTRO DO GUILHERME
Alto Turiaçu,MARANHÃOZINHO
Alto Turiaçu,NOVA OLINDA DO MARANHÃO
Alto Turiaçu,ZÉ DOCA
Alto Turiaçu,CENTRO NOVO DO MARANHÃO
Amambai,AMAMBAI
Amaral/Tekoá Kuriy,BIGUAÇU
Amba Porã,MIRACATU
Anambé,MOJU
Ananás,AMAJARI
Anaro,AMAJARI
Andirá-Marau,ITAITUBA
Andirá-Marau,BARREIRINHA
Andirá-Marau,MAUÉS
Andirá-Marau,PARINTINS
Andirá-Marau,AVEIRO
Aningal,AMAJARI
Anta,ALTO ALEGRE
Apiaká do Pontal e Isolados,APIACÁS
Apiaka/Kayabi,JUARA
Apinayé,CACHOEIRINHA
Apinayé,ITAGUATINS
Apinayé,MAURILÂNDIA DO TOCANTINS
Apinayé,SÃO BENTO DO TOCANTINS
Apinayé,TOCANTINÓPOLIS
Apipica,CAREIRO DA VÁRZEA
Apucarana,TAMARANA
Apurinã do Igarapé Mucuim,LÁBREA
Apurinã do Igarapé São João,TAPAUÁ
Apurinã Igarapé Tauamirim,TAPAUÁ
Apurinã Km 124 BR-317,BOCA DO ACRE
Apurinã Km 124 BR-317,LÁBREA
Apyterewa,SÃO FÉLIX DO XINGU
Araçá,AMAJARI
Arara,ALTAMIRA
Arara,BRASIL NOVO
Arara,MEDICILÂNDIA
Arara,URUARÁ
Arara da Volta Grande do Xingu,SENADOR JOSÉ PORFÍRIO
Arara do Igarapé Humaitá,PORTO WALTER
Arara do Igarapé Humaitá,TARAUACÁ
Arara do Rio Amônia,MARECHAL THAUMATURGO
Arara do Rio Branco,ARIPUANÃ
Arara do Rio Branco,COLNIZA
Araribá,AVAÍ
Arariboia,AMARANTE DO MARANHÃO
Arariboia,ARAME
Arariboia,BOM JESUS DAS SELVAS
Arariboia,BURITICUPU
Arariboia,GRAJAÚ
Arariboia,SANTA LUZIA
Arary,BORBA
Araweté Igarapé Ipixuna,ALTAMIRA
Araweté Igarapé Ipixuna,SÃO FÉLIX DO XINGU
Araweté Igarapé Ipixuna,SENADOR JOSÉ PORFÍRIO
Areões,NOVA NAZARÉ
Aripuanã,ARIPUANÃ
Aripuanã,JUÍNA
Ariramba,MANICORÉ
Arroio-Korá,PARANHOS
Atikum,BELÉM DO SÃO FRANCISCO
